sources,target,pieces,cosine,scaled_error,raw_error,sign_agreement,magnitude_ratio,random_percentile_at_least,random_p50,random_p90,random_p95,random_p99,local_abs_max,local_max,local_min,robust_min_cosine,robust_mean_cosine,symmetry,config_json
"3 T + 1 A + 1 B","Big Hat","5","0.861","0.5086","0.7263","0.9792","1.3795","0.99","0.4998","0.6605","0.7046","0.7581","true","true","false","0.6977","0.7988","0.8","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-3},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"3 R + 1 T","Triangle Hat","4","0.8688","0.4952","0.8214","1","1.5241","0.99","0.4921","0.7512","0.783","0.812","false","false","false","0.6094","0.7191","0.25","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3}]"
"4 R + 2 B","Big Hat","6","0.892","0.452","0.966","0.9583","1.7458","0.99","0.4562","0.6581","0.6941","0.7533","true","true","false","0.7773","0.848","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":0},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"1 R + 1 T + 3 A","Triangle Hat","5","0.9258","0.378","1.6111","1","2.492","0.99","0.5366","0.7752","0.8044","0.8673","false","false","false","0.7686","0.8434","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1}]"
"1 R + 4 A","Triangle Hat","5","0.8962","0.4436","1.1505","1","1.9578","0.99","0.5534","0.8196","0.846","0.8868","false","false","false","0.7809","0.8212","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-3}]"
"3 R + 1 T + 2 A","Triangle Hat","6","0.9263","0.3768","1.6501","1","2.5328","0.99","0.5103","0.7657","0.8145","0.858","false","false","false","0.8217","0.8749","0.1667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-3}]"
"3 R + 1 A + 2 B","Big Hat","6","0.8939","0.4483","1.0357","0.9583","1.8276","0.99","0.4644","0.6587","0.6948","0.7512","true","true","false","0.7835","0.8497","0.6667","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":1},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":0},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"4 R + 1 T + 1 B","Big Hat","6","0.8687","0.4953","0.7927","0.9583","1.4877","0.99","0.4584","0.6481","0.7255","0.782","false","false","false","0.6988","0.809","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-2},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":1}]"
"1 T + 3 A","Triangle Hat","4","0.9107","0.413","1.4131","1","2.2621","0.99","0.5125","0.7443","0.789","0.8461","false","false","false","0.6861","0.7819","0.5","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":3,""y"":-1}]"
"4 R + 1 B","Big Hat","5","0.8553","0.5182","0.7406","0.9792","1.3843","0.99","0.4118","0.6208","0.7077","0.7923","false","false","false","0.7752","0.7903","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":1}]"
"3 T + 1 B","Big Hat","4","0.8453","0.5343","0.6855","0.9792","1.2747","0.99","0.4529","0.6383","0.7126","0.7687","false","false","false","0.6593","0.7647","1","[{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":-1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":2}]"
"1 R + 3 T + 1 B","Big Hat","5","0.857","0.5152","0.7535","0.9792","1.4069","0.99","0.4566","0.6407","0.6953","0.7412","true","true","false","0.7116","0.7953","0.8","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Big Hat"",""type"":""king"",""x"":0,""y"":-2}]"
"2 R + 2 T + 1 A","Triangle Hat","5","0.9065","0.4222","1.3682","1","2.2079","0.99","0.4905","0.732","0.765","0.8237","false","false","false","0.7593","0.8073","0.4","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-2,""y"":0},{""piece"":""Round Hat"",""type"":""pawn"",""x"":3,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":2,""y"":0},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-3,""y"":-1}]"
"3 R + 3 T","Big Hat","6","0.8157","0.5785","0.6091","0.9792","1.0063","0.99","0.5412","0.6203","0.6388","0.6783","true","true","false","0.683","0.7188","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":-1,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-1},{""piece"":""Round Hat"",""type"":""pawn"",""x"":1,""y"":-1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":0,""y"":1}]"
"1 R + 1 A","Round Hat","2","0.887","0.4618","1.1008","1","1.8862","0.99","0.3005","0.7802","0.8152","0.8462","false","false","false","0.2446","0.3718","1","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":0,""y"":2}]"
"3 R + 2 T + 1 A","Triangle Hat","6","0.9164","0.4003","1.556","1","2.42","0.99","0.4802","0.7532","0.7848","0.8371","false","false","false","0.7788","0.8515","0.5","[{""piece"":""Round Hat"",""type"":""pawn"",""x"":0,""y"":-2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":2,""y"":2},{""piece"":""Round Hat"",""type"":""pawn"",""x"":-3,""y"":1},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":3},{""piece"":""Tower"",""type"":""rook"",""x"":3,""y"":-3},{""piece"":""Triangle Hat"",""type"":""spy"",""x"":-2,""y"":0}]"
